date,carbune,consum,hidro,hidrocarburi,nuclear,eolian,productie,fotovolt,biomasa,sold
2024-11-23 14:17:34,809,6805,1400,1594,1340,1543,7019,285,35,-213
2024-11-23 07:30:13,806,6411,991,1555,1383,1853,6639,0,38,-227
2024-11-23 01:30:05,790,5944,1182,1494,1382,2593,7477,-1,35,-1533
2024-11-22 19:25:33,816,8219,1230,1561,1373,2509,7527,-1,37,691
2024-11-22 13:00:10,815,8202,1238,1679,1370,2648,7997,205,39,204
2024-11-22 06:29:15,789,6726,1393,1642,1387,1808,7056,-3,37,-329
2024-11-21 23:47:19,834,6350,1155,1514,1380,879,5800,-3,38,550
2024-11-21 15:55:28,871,7622,1276,1548,1334,458,5677,127,37,1945
2024-11-21 09:29:28,838,7953,1114,1433,1359,2223,7207,179,37,745
2024-11-21 03:25:28,839,5828,1023,1526,1389,2152,6964,-2,35,-1136
2024-11-20 21:25:15,836,7568,1265,1501,1383,2285,7307,-2,36,261
2024-11-20 14:25:28,815,7358,1259,1608,1383,846,6303,353,35,1055
2024-11-20 08:25:16,812,7870,1154,1626,1390,2205,7332,83,39,538
2024-11-20 02:25:06,837,5813,953,1608,1391,2183,7009,-3,37,-1196
2024-11-19 20:25:27,968,7948,1337,1554,1386,1331,6614,-2,39,1333
2024-11-19 12:25:28,930,6181,1026,1435,1380,27,5550,711,38,630
2024-11-19 04:29:34,972,5919,1058,1466,1382,139,5053,-3,37,865
2024-11-18 22:30:26,1025,7049,1447,1669,1383,39,5613,-3,38,1435
2024-11-18 14:00:17,925,7257,1217,1473,1384,158,5813,617,35,1444
2024-11-18 06:57:32,1029,7091,1163,1691,1378,602,5907,-3,37,1184
2024-11-18 00:56:15,952,5594,1081,1546,1370,784,5767,-3,34,-172
2024-11-17 17:01:33,1007,6743,1174,1248,1367,485,5325,-1,36,1417
2024-11-17 10:00:18,928,5598,1054,1394,1317,329,5551,475,36,46
2024-11-17 04:00:02,969,5444,1087,1616,1368,346,5424,-3,38,20
2024-11-16 21:55:29,923,6876,1214,1555,1376,264,5369,-2,37,1507
2024-11-16 15:25:12,933,6463,1125,1532,1377,108,5389,274,37,1074
2024-11-16 03:14:20,966,5809,1047,1595,1378,839,5868,-2,37,-59
2024-11-15 19:00:25,1169,8166,1376,1626,1362,452,6028,-2,43,2138
2024-11-15 12:30:23,1060,7672,1200,1565,1349,193,5856,445,40,1816
2024-11-15 06:29:27,1063,6678,1068,1609,1375,26,5181,-2,40,1496
2024-11-15 00:29:28,882,6119,1092,1672,1370,10,5067,-2,42,1051
2024-11-14 17:16:38,778,8105,1408,1744,1334,8,5322,-1,43,2782
2024-11-14 11:18:20,799,7887,1499,1703,1335,-11,5625,229,43,2262
2024-11-14 04:55:03,747,5861,1071,1573,1381,84,4891,-2,35,970
2024-11-13 19:08:40,1008,8190,1578,1681,1356,119,5774,-1,31,2416
2024-11-13 12:08:10,769,7750,2025,1631,1347,110,6134,221,28,1616
2024-11-13 05:00:12,701,5899,1058,1526,1373,132,4827,-2,37,1072
2024-11-12 22:47:03,855,6721,1245,1604,1371,143,5262,-2,42,1458
2024-11-12 15:08:41,877,8120,2180,1688,1360,469,6670,52,41,1450
2024-11-12 09:08:32,934,8268,1829,1707,1370,552,6515,72,43,1752
2024-11-11 14:46:56,858,7924,1676,1671,1364,862,6647,169,43,1277
2024-11-11 08:49:21,838,8050,1620,1682,1380,1276,6949,77,42,1101
2024-11-11 01:55:33,809,5291,954,1610,1384,1999,6792,-3,38,-1501
2024-11-10 19:38:21,867,7068,1316,1616,1384,2206,7431,-2,42,-362
2024-11-10 12:59:57,876,5911,1006,1137,1386,1453,6268,368,40,-356
2024-11-10 06:47:31,879,5620,966,1602,1385,1420,6295,-1,40,-675
2024-11-10 00:46:47,878,5555,1169,1661,1383,1865,6996,-1,40,-1441
2024-11-09 18:29:55,858,7512,1343,1607,1383,1605,6845,-1,44,667
2024-11-09 12:17:15,879,6448,1375,1553,1381,1630,7268,406,40,-819
2024-11-09 05:46:53,833,5627,1055,1562,1384,1226,6103,-2,40,-476
2024-11-08 23:25:30,869,6136,1123,1555,1378,1535,6502,-3,38,-365
2024-11-08 16:16:15,849,6964,1246,1595,1378,154,5409,130,49,1554
2024-11-08 09:57:31,743,6510,1008,1530,1329,92,5634,879,50,876
2024-11-08 03:25:33,804,5749,1132,1625,1384,66,5060,-3,50,689
2024-11-07 21:20:28,901,7485,1372,1658,1367,181,5536,-2,49,1949
2024-11-07 13:56:11,801,6291,1124,1565,1328,57,5936,1006,51,354
2024-11-07 06:25:30,762,6658,1151,1613,1381,35,4995,-3,49,1662
2024-11-06 23:39:07,766,6247,1222,1613,1376,33,5057,-3,47,1190
2024-11-06 16:08:07,780,7106,1250,1598,1368,-13,5237,205,47,1868
2024-11-06 09:55:51,759,6783,1174,1567,1376,24,5830,879,47,953
2024-11-06 02:38:38,653,5643,1145,1543,1368,193,4947,-3,46,696
2024-11-05 20:38:38,788,7692,1652,1430,1360,56,5329,-2,44,2362
2024-11-05 12:47:10,668,6042,1067,1060,1358,85,5273,987,45,769
2024-11-05 05:56:25,665,6022,1116,1089,1367,822,5103,-2,42,918
2024-11-04 23:55:33,829,5996,1064,1057,1361,1746,6101,-2,44,-105
2024-11-04 17:38:04,1032,7828,1437,1067,1330,1245,6180,-1,47,1647
2024-11-04 04:47:11,761,5236,929,1038,1371,1501,5640,-2,41,-403
2024-11-03 22:47:23,872,5828,1235,1040,1371,261,4821,-1,41,1006
2024-11-03 14:16:28,761,5184,730,663,1373,175,4110,365,42,1074
2024-11-03 08:08:19,831,5443,976,611,1372,853,4748,52,42,695
2024-11-03 02:00:07,853,5145,986,1042,1374,1997,6302,-2,45,-1156
2024-11-02 20:00:30,867,6912,1274,1034,1403,2087,6705,-1,40,206
2024-11-02 12:55:15,761,5396,893,995,1403,729,5499,673,42,-102
2024-11-02 06:55:02,754,5663,1042,1007,1374,1674,5894,-1,42,-231
2024-11-02 00:56:17,756,5532,1017,999,1364,1490,5680,-1,51,-147
